"filename", "language", "Markdown", "go", "Go Checksum File", "Go Module File", "Bison", "comment", "blank", "total"
"c:\Users\xavie\Desktop\mylisp\README.md", "Markdown", 39, 0, 0, 0, 0, 0, 24, 63
"c:\Users\xavie\Desktop\mylisp\examples\examples_test.go", "go", 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\xavie\Desktop\mylisp\go.mod", "Go Module File", 0, 0, 0, 2, 0, 0, 2, 4
"c:\Users\xavie\Desktop\mylisp\go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xavie\Desktop\mylisp\inter\def.bool.go", "go", 0, 33, 0, 0, 0, 7, 11, 51
"c:\Users\xavie\Desktop\mylisp\inter\def.error.go", "go", 0, 30, 0, 0, 0, 8, 11, 49
"c:\Users\xavie\Desktop\mylisp\inter\def.number.go", "go", 0, 123, 0, 0, 0, 15, 24, 162
"c:\Users\xavie\Desktop\mylisp\inter\def.number.scan_test.go", "go", 0, 29, 0, 0, 0, 0, 7, 36
"c:\Users\xavie\Desktop\mylisp\inter\def.pair.go", "go", 0, 65, 0, 0, 0, 10, 17, 92
"c:\Users\xavie\Desktop\mylisp\inter\def.procedure.go", "go", 0, 32, 0, 0, 0, 12, 12, 56
"c:\Users\xavie\Desktop\mylisp\inter\def.string.go", "go", 0, 30, 0, 0, 0, 8, 12, 50
"c:\Users\xavie\Desktop\mylisp\inter\def.symbol.go", "go", 0, 29, 0, 0, 0, 7, 11, 47
"c:\Users\xavie\Desktop\mylisp\inter\def.term.go", "go", 0, 40, 0, 0, 0, 1, 6, 47
"c:\Users\xavie\Desktop\mylisp\inter\env.go", "go", 0, 86, 0, 0, 0, 10, 13, 109
"c:\Users\xavie\Desktop\mylisp\inter\eval.go", "go", 0, 36, 0, 0, 0, 11, 12, 59
"c:\Users\xavie\Desktop\mylisp\inter\eval.keywords.go", "go", 0, 18, 0, 0, 0, 8, 6, 32
"c:\Users\xavie\Desktop\mylisp\inter\eval.literal.go", "go", 0, 27, 0, 0, 0, 1, 2, 30
"c:\Users\xavie\Desktop\mylisp\inter\eval.procedure.go", "go", 0, 34, 0, 0, 0, 8, 13, 55
"c:\Users\xavie\Desktop\mylisp\inter\eval.sp.ariths.go", "go", 0, 81, 0, 0, 0, 15, 25, 121
"c:\Users\xavie\Desktop\mylisp\inter\eval.sp.begin.go", "go", 0, 15, 0, 0, 0, 0, 4, 19
"c:\Users\xavie\Desktop\mylisp\inter\eval.sp.define.go", "go", 0, 31, 0, 0, 0, 20, 5, 56
"c:\Users\xavie\Desktop\mylisp\inter\eval.sp.display.go", "go", 0, 33, 0, 0, 0, 6, 8, 47
"c:\Users\xavie\Desktop\mylisp\inter\eval.sp.files.go", "go", 0, 90, 0, 0, 0, 0, 19, 109
"c:\Users\xavie\Desktop\mylisp\inter\eval.sp.go", "go", 0, 27, 0, 0, 0, 2, 11, 40
"c:\Users\xavie\Desktop\mylisp\inter\eval.sp.help.go", "go", 0, 54, 0, 0, 0, 3, 13, 70
"c:\Users\xavie\Desktop\mylisp\inter\eval.sp.keywords.go", "go", 0, 23, 0, 0, 0, 4, 9, 36
"c:\Users\xavie\Desktop\mylisp\inter\eval.sp.lambda.go", "go", 0, 36, 0, 0, 0, 14, 11, 61
"c:\Users\xavie\Desktop\mylisp\inter\eval.sp.let.go", "go", 0, 47, 0, 0, 0, 20, 11, 78
"c:\Users\xavie\Desktop\mylisp\inter\eval.sp.list.go", "go", 0, 37, 0, 0, 0, 6, 6, 49
"c:\Users\xavie\Desktop\mylisp\inter\eval.sp.quit.go", "go", 0, 16, 0, 0, 0, 3, 6, 25
"c:\Users\xavie\Desktop\mylisp\inter\eval.sp.quote.go", "go", 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\xavie\Desktop\mylisp\inter\eval.var.go", "go", 0, 18, 0, 0, 0, 1, 4, 23
"c:\Users\xavie\Desktop\mylisp\inter\eval_test.go", "go", 0, 114, 0, 0, 0, 12, 30, 156
"c:\Users\xavie\Desktop\mylisp\inter\gcd.go", "go", 0, 13, 0, 0, 0, 3, 2, 18
"c:\Users\xavie\Desktop\mylisp\inter\grammar.y", "Bison", 0, 0, 0, 0, 43, 2, 20, 65
"c:\Users\xavie\Desktop\mylisp\inter\inter.go", "go", 0, 14, 0, 0, 0, 0, 5, 19
"c:\Users\xavie\Desktop\mylisp\inter\lexer.go", "go", 0, 204, 0, 0, 0, 24, 22, 250
"c:\Users\xavie\Desktop\mylisp\inter\lexer_test.go", "go", 0, 54, 0, 0, 0, 4, 10, 68
"c:\Users\xavie\Desktop\mylisp\inter\parser.go", "go", 0, 452, 0, 0, 0, 42, 70, 564
"c:\Users\xavie\Desktop\mylisp\inter\parser.utils.go", "go", 0, 64, 0, 0, 0, 2, 10, 76
"c:\Users\xavie\Desktop\mylisp\inter\parser_test.go", "go", 0, 67, 0, 0, 0, 4, 14, 85
"c:\Users\xavie\Desktop\mylisp\inter\repl.go", "go", 0, 74, 0, 0, 0, 7, 12, 93
"c:\Users\xavie\Desktop\mylisp\inter\utils.go", "go", 0, 32, 0, 0, 0, 3, 8, 43
"c:\Users\xavie\Desktop\mylisp\inter\version.go", "go", 0, 10, 0, 0, 0, 8, 10, 28
"c:\Users\xavie\Desktop\mylisp\lisp.go", "go", 0, 42, 0, 0, 0, 5, 14, 61
"c:\Users\xavie\Desktop\mylisp\mytest\colors.go", "go", 0, 9, 0, 0, 0, 2, 3, 14
"c:\Users\xavie\Desktop\mylisp\mytest\verify.go", "go", 0, 72, 0, 0, 0, 6, 13, 91
"c:\Users\xavie\Desktop\mylisp\mytest\version.go", "go", 0, 2, 0, 0, 0, 0, 2, 4
"Total", "-", 39, 2371, 0, 2, 43, 324, 568, 3347